minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_group,room_type,price
4,5,62,0,2,25
1,8,318,1,0,100
6,8,365,2,0,50
1,6,271,1,0,100
2,10,356,0,0,60
2,8,189,0,0,80
1,8,175,0,0,51
1,10,360,2,0,79
1,13,320,0,0,70
3,5,313,2,0,40
5,7,365,2,2,31
1,9,324,1,0,100
1,5,341,1,0,999
1,5,209,1,0,164
1,11,281,1,1,140
1,7,152,0,0,60
1,7,221,1,2,75
2,13,246,1,1,198
1,12,270,1,0,110
1,8,320,2,0,34
3,5,110,0,0,60
3,8,360,0,0,75
1,5,269,1,0,100
3,8,352,0,0,75
1,5,361,2,0,95
3,49,164,1,1,699
4,5,80,0,2,25
3,13,85,0,0,117
1,11,179,1,0,375
1,13,312,1,0,100
1,8,359,0,0,65
1,11,178,1,0,329
1,13,351,1,0,100
2,6,191,0,1,165
2,8,77,0,0,60
3,12,365,1,0,799
4,7,334,3,0,30
1,8,306,1,0,250
2,327,327,1,1,205
3,49,204,1,1,699
1,5,55,0,1,90
1,8,250,2,0,129
2,9,345,1,0,69
3,13,90,0,0,52
1,30,354,1,0,199
2,327,260,1,1,244
3,49,204,1,1,699
7,6,310,1,0,39
1,6,180,0,0,69
7,6,11,1,0,50
2,9,365,1,0,69
1,8,319,1,0,100
1,6,121,2,0,49
1,7,364,0,0,58
3,49,204,1,1,699
4,12,365,1,0,799
1,5,85,0,1,90
2,5,337,2,1,98
1,13,358,1,0,100
1,6,365,1,1,1020
1,9,311,2,0,55
1,5,359,2,0,59
2,327,277,1,1,256
1,20,352,1,0,199
1,7,107,2,0,55
1,9,118,0,1,155
1,6,288,0,0,118
4,5,346,0,2,25
2,327,215,1,1,255
2,327,263,1,1,505
2,6,340,2,0,149
8,5,0,0,0,65
2,327,291,1,1,185
1,26,365,0,0,55
1,7,177,0,0,60
3,8,252,1,0,90
3,5,255,1,1,250
1,6,339,2,0,45
3,6,332,1,0,80
2,6,64,2,0,45
5,5,206,0,1,135
1,9,175,1,2,85
1,8,70,1,1,89
1,7,225,1,2,75
2,327,255,1,0,616
3,6,256,2,0,169
4,8,315,3,0,32
1,8,196,1,2,65
1,7,310,0,0,51
1,30,364,1,0,179
3,28,60,0,1,199
5,7,112,0,0,72
1,6,365,1,2,75
2,10,352,0,0,64
2,8,73,1,0,209
5,7,237,1,0,50
2,327,355,1,1,229
3,28,60,0,1,199
1,5,0,1,0,86
4,5,133,2,0,65
2,6,287,0,0,55
1,6,364,2,0,70
5,5,22,4,0,50
1,7,359,1,0,100
1,8,309,1,0,100
1,12,356,1,0,85
1,9,317,1,0,100
1,33,364,0,1,189
2,7,0,2,0,50
3,49,222,1,1,737
4,6,0,0,0,39
4,5,365,0,0,129
2,6,365,0,2,30
4,5,90,2,2,40
14,28,322,1,2,35
2,5,354,3,1,135
1,10,357,1,0,45
2,327,247,1,1,484
2,13,279,1,1,240
1,5,336,1,0,196
3,28,36,0,1,199
5,7,278,0,0,70
1,5,114,2,1,255
1,8,317,1,0,300
1,6,341,2,1,257
2,327,328,1,1,396
2,327,91,1,1,262
2,9,11,1,2,65
2,6,254,2,0,30
3,28,62,0,1,199
1,11,271,1,0,165
1,12,360,1,0,85
1,12,39,0,0,63
1,8,346,2,2,40
1,8,0,2,0,39
1,5,322,1,0,358
2,7,37,3,0,40
7,6,365,0,2,25
1,5,342,1,0,365
3,49,224,1,1,737
2,5,90,2,1,129
7,9,120,0,0,42
4,8,365,2,0,59
1,6,0,2,0,45
4,6,29,0,0,37
1,5,119,0,0,70
1,15,359,1,0,100
1,17,257,1,1,120
1,33,365,0,2,119
1,8,334,0,1,350
1,12,241,1,0,105
